"28cell1te" "28cell2te" "28cell3te" "blastula2te" "blastula3te" "dlarv1te" "dlarv2te" "dlarv3te" "gastrula1te" "gastrula2te" "gastrula3te" "morula1te" "morula2te" "ovo1te" "ovo2te" "spat1te" "spat2te" "spat3te" "troc1te" "troc2te"
"11605" 12 0 0 1 1 0 0 0 1 1 1 0 1 5 1 1 2 0 2 1
"1162" 1 0 1 2 0 4 2 1 0 0 0 1 0 1 1 1 1 1 4 0
"1165" 5 5 3 0 4 4 0 3 5 5 5 4 4 7 0 0 0 0 8 3
"1168" 13 2 12 0 1 1 1 1 3 0 2 1 3 1 0 2 0 5 6 1
"11683" 19 4 28 1 3 2 4 0 2 1 1 2 0 0 3 2 4 8 3 1
"11685" 6 0 1 2 3 1 0 4 1 3 0 2 1 1 0 2 0 1 10 5
"1169" 25 13 26 5 8 6 10 5 16 12 12 9 7 4 0 1 5 2 5 7
"11697" 6 2 12 0 1 7 0 5 3 10 4 2 2 3 3 4 14 20 7 5
"11699" 4 0 0 1 2 6 4 2 2 6 4 6 2 10 0 3 2 11 7 3
"117" 6 1 3 3 0 7 0 0 7 4 5 3 3 3 1 3 2 6 19 3
"11703" 6 4 10 0 1 2 1 0 0 2 1 0 2 1 0 0 1 0 1 4
"11707" 10 4 19 11 5 8 7 3 6 7 7 6 1 1 1 21 17 10 5 3
"11716" 0 2 1 4 5 7 14 6 9 9 7 12 9 4 1 4 3 4 31 14
"11717" 7 1 13 1 8 4 9 7 5 2 1 6 10 10 3 1 2 5 10 10
"11718" 0 0 0 3 0 0 2 0 1 6 2 1 1 1 0 0 0 0 2 2
"1172" 3 1 1 1 4 8 5 6 14 6 13 8 7 5 3 3 3 3 14 5
"11721" 2 2 1 0 1 1 1 1 2 1 1 5 4 0 0 0 0 0 2 4
"1173" 1 0 2 1 2 2 0 0 0 0 3 0 1 9 1 0 0 2 2 0
"11740" 0 4 1 3 4 4 2 3 6 7 3 2 4 1 1 0 0 0 7 4
"11749" 1 3 3 0 2 2 5 3 2 1 1 8 2 0 0 1 0 0 6 6
"11764" 4 3 3 0 1 1 2 1 4 5 3 2 5 1 0 0 1 0 2 0
"11771" 2 4 3 0 3 6 4 1 3 3 5 1 2 5 0 10 3 2 2 4
"11777" 1 5 0 2 5 3 1 1 4 9 8 0 8 3 1 3 0 1 6 2
"11781" 1 0 6 0 0 0 2 0 3 3 0 2 1 0 0 4 2 2 5 1
"11784" 37 3 42 2 6 19 15 6 12 19 10 15 7 4 2 40 31 19 32 13
"118" 3 1 4 4 2 9 4 2 5 2 0 5 2 2 0 0 0 0 13 2
"11805" 2 0 1 0 0 1 1 2 1 1 1 12 3 0 0 0 0 2 9 5
"11806" 0 2 4 1 1 10 3 1 10 7 4 11 3 3 2 4 2 3 12 10
"11808" 2 2 2 2 0 1 0 0 5 0 2 3 5 3 1 0 1 1 7 4
"11827" 5 0 0 1 1 4 1 2 1 2 4 2 2 0 0 4 3 3 1 8
"1184" 1 0 4 1 0 0 0 0 0 0 1 2 4 0 0 0 7 0 0 0
"11848" 4 9 10 4 2 3 5 3 7 7 7 8 6 5 2 15 19 15 10 5
"1186" 13 4 31 11 10 20 17 10 15 14 21 23 19 9 0 62 36 40 26 21
"11872" 5 4 3 2 2 6 4 2 2 1 2 6 5 0 2 16 16 27 11 7
"11888" 27 6 35 5 8 5 15 5 14 16 16 10 12 4 0 4 6 12 17 14
"11894" 0 0 0 0 0 6 2 4 4 0 1 3 1 0 0 2 0 0 5 4
"11898" 1 3 0 4 0 2 2 6 9 8 14 7 5 9 1 3 0 1 13 6
"11899" 9 0 8 3 3 3 5 4 3 7 4 1 4 7 0 4 1 2 5 4
"119" 8 15 20 4 6 36 16 10 52 15 12 29 12 9 1 15 9 18 78 30
"11932" 2 4 1 1 1 4 4 2 3 14 11 6 5 3 0 0 1 4 8 5
"11934" 1 0 1 0 3 1 1 3 3 1 2 2 0 2 0 0 1 1 1 0
"11936" 0 0 2 2 0 1 1 0 5 1 1 0 0 2 0 4 1 3 5 1
"11939" 1 7 3 3 0 5 1 2 2 10 12 0 8 5 1 9 11 14 5 2
"11941" 0 0 3 7 3 3 1 0 0 1 2 2 3 3 3 0 3 4 2 0
